Branch,ID,LoanApplicationID,ContractCustomerID,Account,Currency,Amount,Disbursed,ApprovedAmount,OutstandingAmount,DisbursedStat,ValueDate,Installment,Term,Cycle,MaturityDate,LoanProduct,Category,InterestRate,IRR,FreqType,Frequency,DeliqMode,LoanPurpose,ContractVB,Group,SourceOfFund,TotalInterest,AccrInterest,AccrCurrentInt,AccrIntCurrMonth,AccrIntPreMonth,IntIncEarned,AccrIntPerDay,NextAccrDate,Suspend,ContractOfficerID,LoanType,AssetClass,MoreThanOneYear,NextRunDate,Penalty,FirstCollectionDate,Classification,Sector,Industry,Ownership,LoanStatus,ClosedDate,WatchDay,FirstDueDate,MinAssetClass,DoneWatchDay,Vendor,OutstandingAmountAS,RepoStatus,AssetPrice,InstallmentAmount,DueDate
HO,LC23022100007,LA23021900006,CU000747,DD000887,USD,0,2750,2750,0,Y,21/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1731.82,0,0,0,0,942.99,0,,N,1008,N,0,Y,18/04/2024,Y,15/03/2023,A,,,,TMN,18/04/2024,0,,0,0,94043,0,,0,0,
HO,LC23022100008,LA23021700014,CU000606,DD000588,USD,0,2750,2750,0,Y,21/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1731.82,0,0,0,0,626.112351,0,,N,1001,N,0,Y,17/01/2024,Y,15/03/2023,A,,,,TMN,17/01/2024,0,,0,0,94006,0,RepoForSale,0,0,
HO,LC23022100018,LA23021800004,CU000667,DD000746,USD,0,1800,1800,0,Y,21/02/2023,36,36,1,20/02/2026,102,123210005,18,,1,1,3,3,,,,1224.34,0,0,0,0,485.7840276,0,,N,1006,N,0,Y,17/01/2024,Y,20/03/2023,A,,,,TMN,17/01/2024,0,,0,0,94001,0,RepoForSale,0,0,
HO,LC23022100021,LA23021800006,CU000685,DD000767,USD,0,2950,2950,0,Y,21/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1961.18,0,0,0,0,1751.17,0,,N,1003,N,0,Y,16/09/2025,Y,15/03/2023,A,,,,TMN,16/09/2025,0,,0,0,94007,0,,2950,138.16,15
HO,LC23022100031,LA23021000009,CU000044,DD000011,USD,0,1300,1300,0,Y,21/02/2023,24,24,1,10/02/2025,102,123210005,18,,1,1,3,3,,,,377.37,0,0,0,0,377.37,0,,N,1006,N,0,Y,11/02/2025,Y,10/03/2023,A,,,,MRT,18/02/2025,0,,0,0,94001,0,,1300,70.69,10
HO,LC23022100033,LA23021700016,CU000622,DD000613,USD,0,2750,2750,0,Y,21/02/2023,24,24,1,15/02/2025,102,123210005,18,,1,1,3,3,,,,1109.36,0,0,0,0,570.75,0,,N,1019,N,0,Y,03/11/2023,Y,15/03/2023,A,,,,TMN,03/11/2023,0,,0,0,94027,0,,0,0,
HO,LC23022200003,LA23021900005,CU000739,DD000881,USD,0,2850,2850,0,Y,22/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1885.81,0,0,0,0,1657.569676,0,,N,1006,N,40,Y,28/07/2025,Y,15/03/2023,A,,,,WOF,28/07/2025,0,15/10/2023,0,0,94006,0,,2850,133.48,15
HO,LC23022200004,LA23022000016,CU000867,DD001005,USD,0,2025,2025,0,Y,22/02/2023,24,24,1,15/02/2025,102,123210005,18,,1,1,3,3,,,,856.73,0,0,0,0,740.3,0,,N,1015,N,20,Y,20/08/2024,Y,15/03/2023,A,,,,TMN,20/08/2024,0,15/08/2023,0,0,94027,0,,2025,121.51,15
HO,LC23022200012,LA23022100011,CU001095,DD001367,USD,0,2400,2400,0,Y,22/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1588.15,0,0,0,0,1220.94802,0,,N,1011,N,40,Y,30/12/2024,Y,15/03/2023,A,,,,WOF,30/12/2024,0,15/06/2023,0,0,94043,0,,2400,112.4,15
HO,LC23022200020,LA23022100027,CU001229,DD001684,USD,0,2750,2750,0,Y,22/02/2023,36,36,1,10/02/2026,102,123210005,18,,1,1,3,3,,,,1777.27,0,0,0,0,283.24,0,,N,1009,N,0,Y,11/06/2023,Y,10/03/2023,A,,,,TMN,11/06/2023,0,,0,0,94001,0,,0,0,
HO,LC23022200029,LA23022000008,CU000810,DD000951,USD,0,2750,2750,0,Y,22/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1724.04,0,0,0,0,1163.21,0,,N,1012,N,20,Y,29/08/2024,Y,15/03/2023,A,,,,TMN,29/08/2024,0,15/07/2023,0,0,94049,0,,2750,125.96,15
HO,LC23022200030,LA23021700006,CU000517,DD000496,USD,0,2400,2400,0,Y,22/02/2023,36,36,1,10/02/2026,102,123210005,18,,1,1,3,3,,,,1551.27,0,0,0,0,435.75,0,,N,1002,N,0,Y,08/09/2023,Y,10/03/2023,A,,,,TMN,08/09/2023,0,,0,0,94007,0,,0,0,
HO,LC23022200031,LA23021700009,CU000557,DD000532,USD,0,2200,2200,0,Y,22/02/2023,18,18,1,15/08/2024,102,123210005,18,,1,1,3,3,,,,683.73,0,0,0,0,683.73,0,,N,1010,N,0,Y,16/08/2024,Y,15/03/2023,A,,,,MRT,16/08/2024,0,,0,0,94008,0,,2200,161.99,15
HO,LC23022200032,LA23021800007,CU000694,DD000774,USD,0,2950,2950,0,Y,22/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1952.13,0,0,0,0,1191.76,0,,N,1016,N,0,Y,25/06/2024,Y,15/03/2023,A,,,,TMN,25/06/2024,0,,0,0,94027,0,,2950,,
HO,LC23022300002,LA23022000027,CU000938,DD001135,USD,0,2750,2750,0,Y,23/02/2023,30,30,1,15/08/2025,102,123210005,18,,1,1,3,3,,,,1529.01,0,0,0,0,1451.23,0,,N,1010,N,0,Y,13/08/2025,Y,15/03/2023,A,,,,MRT,12/08/2025,0,,0,0,94038,0,,2750,144.87,15
